index,name,x,y,demand
demand2,ReLU Realty,190.72068753836712,72.661101836394,10
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,30
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,45
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,25
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,10
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,15
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,40
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,35
demand22,Vertex Tower,342.92449355432785,231.3355592654424,25
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,30
demand29,IIS Tower,113.68692449355433,291.8864774624374,50
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,5
demand34,Scheduling Station,359.3873542050338,363.9265442404007,10
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,40
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,10
demand45,Joke-obian's Comedy Club,152.82504604051567,419.50918196994996,45
demand51,Farkas' Lemma-nade,391.38121546961327,186,5
